fecha,mes,año,semana,servicio,numero_incidentes,tiempo_promedio_horas,tiempo_promedio_dias,cumplimiento_sla
2020-01-05,2020-01,2020,1,Sistema Tributario,27,11.34,0.47,Cumple
2020-01-05,2020-01,2020,1,Portal Web,44,6.08,0.25,Cumple
2020-01-05,2020-01,2020,1,API de Servicios,31,42.04,1.75,Requiere atención
2020-01-05,2020-01,2020,1,Sistema de Facturación,44,36.02,1.5,Requiere atención
2020-01-05,2020-01,2020,1,Plataforma de Pagos,48,25.6,1.07,Requiere atención
2020-01-05,2020-01,2020,1,Sistema Aduanero,21,26.13,1.09,Requiere atención
2020-01-05,2020-01,2020,1,BI y Reportes,46,18.14,0.76,Cumple
2020-01-05,2020-01,2020,1,Infraestructura,35,36.65,1.53,Requiere atención
2020-01-12,2020-01,2020,2,Sistema Tributario,13,16.12,0.67,Cumple
2020-01-12,2020-01,2020,2,Portal Web,35,26.37,1.1,Requiere atención
2020-01-12,2020-01,2020,2,API de Servicios,11,47.38,1.97,Requiere atención
2020-01-12,2020-01,2020,2,Sistema de Facturación,46,13.67,0.57,Cumple
2020-01-12,2020-01,2020,2,Plataforma de Pagos,23,29.73,1.24,Requiere atención
2020-01-12,2020-01,2020,2,Sistema Aduanero,44,42.69,1.78,Requiere atención
2020-01-12,2020-01,2020,2,BI y Reportes,12,41.57,1.73,Requiere atención
2020-01-12,2020-01,2020,2,Infraestructura,37,17.81,0.74,Cumple
2020-01-19,2020-01,2020,3,Sistema Tributario,19,15.4,0.64,Cumple
2020-01-19,2020-01,2020,3,Portal Web,31,32.45,1.35,Requiere atención
2020-01-19,2020-01,2020,3,API de Servicios,41,36.7,1.53,Requiere atención
2020-01-19,2020-01,2020,3,Sistema de Facturación,13,44.96,1.87,Requiere atención
2020-01-19,2020-01,2020,3,Plataforma de Pagos,44,42.11,1.75,Requiere atención
2020-01-19,2020-01,2020,3,Sistema Aduanero,42,27.35,1.14,Requiere atención
